Employee_ID,Attrition_rate
EID_22713,0.41823809323336214
EID_9658,0.2452594427759159
EID_22203,0.21206150072334506
EID_7652,0.2415350755085089
EID_6516,0.1802276013132874
EID_20283,0.2268189299617494
EID_21014,0.14880046087745272
EID_7693,0.18435066785312718
EID_13232,0.2605742628142382
EID_6515,0.21452108575433504
EID_13639,0.18232097492029667
EID_14669,0.2176151801825447
EID_16537,0.2727892852210332
EID_5782,0.29940793310369146
EID_20157,0.20073231275129902
EID_1855,0.22060432385835074
EID_20748,0.22421798858434605
EID_23179,0.24693561722645102
EID_12838,0.21552802165266585
EID_21656,0.1197278360325177
EID_8844,0.24732427780083005
EID_1536,0.30020711475223605
EID_8822,0.23038569140692328
EID_11398,0.24236908868735113
EID_12965,0.23038688058948767
EID_5204,0.2021576863855739
EID_10030,0.25323924585780283
EID_13227,0.2641414820621218
EID_20607,0.19540910832148078
EID_14070,0.22695386574565266
EID_3755,0.20069449531352704
EID_5459,0.2674739417457847
EID_7697,0.25078386220316246
EID_3935,0.13966606289046252
EID_19046,0.26608840500356296
EID_4040,0.2212703005877686
EID_17730,0.25286593530631063
EID_4995,0.2069174689990933
EID_24653,0.16782879078558188
EID_6978,0.17447294282999218
EID_13775,0.20414784854867732
EID_14608,0.245330956455185
EID_3148,0.2461427820736943
EID_24868,0.24912923423987396
EID_5521,0.2662236796650512
EID_21155,0.1255869293423131
EID_3840,0.10275294792356332
EID_10646,0.1943238183441127
EID_6711,0.2894974176841381
EID_16247,0.14135590783056362
EID_16789,0.1926604084453557
EID_17967,0.15669132763035645
EID_13270,0.3684831804159654
EID_18462,0.19281426711651378
EID_22248,0.1827215599826679
EID_22693,0.19787300289122275
EID_25662,0.22906446122142626
EID_23346,0.17307964814021565
EID_4437,0.25040625496701713
EID_18108,0.22446874967520772
EID_7000,0.14471043004313178
EID_22770,0.4290670895936142
EID_7816,0.19163876507083222
EID_19615,0.11984309619512824
EID_23807,0.33189926167071726
EID_16764,0.1744143297889732
EID_16818,0.22944083696059087
EID_22712,0.1644680091537481
EID_18198,0.15128762480368813
EID_11154,0.25329434632939035
EID_22137,0.2537777758219339
EID_11655,0.21023062287024086
EID_18514,0.3144241955645112
EID_24742,0.1301664993007524
EID_16019,0.07117278279036379
EID_7357,0.2302299110738839
EID_20106,0.3744321288867958
EID_13284,0.18242127472771383
EID_5451,0.2147363228785681
EID_19728,0.3473688664730574
EID_9178,0.32899985682809046
EID_13177,0.14593874791434175
EID_14300,0.16867901483414985
EID_4379,0.2268474959926322
EID_11285,0.12350626690480584
EID_14882,0.12153941612455482
EID_9969,0.2975676432696942
EID_23643,0.1118028654816091
EID_5935,0.2578046513000698
EID_7741,0.13710361774663465
EID_6176,0.2584917966193835
EID_5418,0.25054130785920575
EID_20626,0.16948106142485192
EID_1725,0.23259391901140022
EID_14317,0.15458715008875834
EID_12120,0.12550535848547206
EID_20264,0.1809365350018027
EID_16691,0.19649756207844188
EID_1093,0.15087895376919022
EID_2565,0.18851094499850002
EID_11463,0.2722729128118494
EID_12005,0.13726243738051352
EID_10326,0.2763205320157842
EID_12582,0.11341494082151955
EID_18228,0.18225495542837927
EID_11670,0.38199302569068916
EID_24257,0.176368561173014
EID_7024,0.1857047031676064
EID_10382,0.3112349720826974
EID_20210,0.20270322441579267
EID_10294,0.1401267698583339
EID_19941,0.30208286636777315
EID_25572,0.20461718499333728
EID_7758,0.18650441769684112
EID_22718,0.24964788835885635
EID_1078,0.27462863720980046
EID_8227,0.20345417945022
EID_1702,0.19432507953557637
EID_3532,0.22996300505681588
EID_22452,0.23677699800012803
EID_3019,0.20488994632845542
EID_22264,0.23269243034568535
EID_9866,0.22374109819713073
EID_3520,0.27172550173884064
EID_21098,0.20150051670161412
EID_1186,0.14110624459908244
EID_12355,0.28164824255107296
EID_11020,0.22905406457341018
EID_19193,0.16031764321183506
EID_17787,0.25145993552431023
EID_13719,0.18706654962933156
EID_24449,0.3556583039183609
EID_12957,0.24480206272569072
EID_24794,0.325427348411235
EID_2866,0.1951908591783094
EID_10563,0.2530252151957567
EID_22492,0.22004127347441846
EID_4106,0.2876094674828571
EID_6648,0.1892837870656937
EID_7209,0.19192443539108306
EID_9692,0.16604933281763493
EID_22763,0.14327386358970623
EID_12622,0.29317658526025164
EID_9831,0.13857912058552785
EID_5731,0.18949331143956094
